date,market_id,market_name,mandi_id,district,target_price_t_plus_7,split,model,prediction,lower_bound_inr_qtl,upper_bound_inr_qtl,covered,interval_width_inr_qtl,confidence_level
2025-04-26,4752,Pune(Moshi),maharashtra__punemoshi,pune,800.0,validation,moving_average_7d,807.1428571428571,596.7857142857141,1100.0,True,503.2142857142859,0.9
2025-04-27,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1014.2857142857144,803.9285714285714,1307.1428571428573,True,503.2142857142859,0.9
2025-04-27,168,Nasik,maharashtra__nasik,nashik,600.0,validation,moving_average_7d,971.4285714285714,761.0714285714284,1264.2857142857142,False,503.2142857142858,0.9
2025-04-27,172,Pune,maharashtra__pune,pune,1000.0,validation,moving_average_7d,1071.428571428571,861.0714285714281,1364.285714285714,True,503.2142857142859,0.9
2025-04-27,176,Solapur,maharashtra__solapur,solapur,750.0,validation,moving_average_7d,785.7142857142857,575.3571428571427,1078.5714285714284,True,503.2142857142858,0.9
2025-04-27,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,550.0,validation,moving_average_7d,650.0,439.642857142857,942.8571428571429,True,503.2142857142859,0.9
2025-04-27,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,928.5714285714286,718.2142857142856,1221.4285714285716,True,503.214285714286,0.9
2025-04-27,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1300.0,validation,moving_average_7d,1185.7142857142858,975.3571428571428,1478.5714285714287,True,503.2142857142859,0.9
2025-04-27,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1050.0,validation,moving_average_7d,1128.571428571429,918.2142857142859,1421.4285714285718,True,503.2142857142859,0.9
2025-04-27,4751,Pune(Manjri),maharashtra__punemanjri,pune,700.0,validation,moving_average_7d,1014.2857142857144,803.9285714285714,1307.1428571428573,False,503.2142857142859,0.9
2025-04-27,4752,Pune(Moshi),maharashtra__punemoshi,pune,650.0,validation,moving_average_7d,800.0,589.642857142857,1092.857142857143,True,503.2142857142859,0.9
2025-04-28,160,Kolhapur,maharashtra__kolhapur,kolhapur,1100.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-04-28,168,Nasik,maharashtra__nasik,nashik,820.0,validation,moving_average_7d,957.1428571428572,746.7857142857142,1250.0,True,503.2142857142858,0.9
2025-04-28,172,Pune,maharashtra__pune,pune,1000.0,validation,moving_average_7d,1050.0,839.642857142857,1342.857142857143,True,503.2142857142859,0.9
2025-04-28,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,771.4285714285714,561.0714285714284,1064.2857142857142,True,503.2142857142858,0.9
2025-04-28,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,600.0,validation,moving_average_7d,667.8571428571429,457.4999999999999,960.7142857142858,True,503.2142857142859,0.9
2025-04-28,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,942.8571428571428,732.4999999999998,1235.7142857142858,True,503.214285714286,0.9
2025-04-28,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1200.0,validation,moving_average_7d,1150.0,939.642857142857,1442.857142857143,True,503.2142857142859,0.9
2025-04-28,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1150.0,validation,moving_average_7d,1128.571428571429,918.2142857142859,1421.4285714285718,True,503.2142857142859,0.9
2025-04-28,4751,Pune(Manjri),maharashtra__punemanjri,pune,800.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,False,503.2142857142859,0.9
2025-04-28,4752,Pune(Moshi),maharashtra__punemoshi,pune,650.0,validation,moving_average_7d,857.1428571428571,646.7857142857141,1150.0,True,503.2142857142859,0.9
2025-04-29,160,Kolhapur,maharashtra__kolhapur,kolhapur,1100.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-04-29,168,Nasik,maharashtra__nasik,nashik,850.0,validation,moving_average_7d,928.5714285714286,718.2142857142856,1221.4285714285716,True,503.214285714286,0.9
2025-04-29,172,Pune,maharashtra__pune,pune,950.0,validation,moving_average_7d,1042.857142857143,832.4999999999999,1335.7142857142858,True,503.2142857142859,0.9
2025-04-29,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,757.1428571428571,546.7857142857141,1050.0,True,503.2142857142859,0.9
2025-04-29,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,675.0,validation,moving_average_7d,682.1428571428571,471.7857142857141,975.0,True,503.2142857142859,0.9
2025-04-29,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,957.1428571428572,746.7857142857142,1250.0,True,503.2142857142858,0.9
2025-04-29,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1400.0,validation,moving_average_7d,1092.857142857143,882.4999999999999,1385.7142857142858,False,503.2142857142859,0.9
2025-04-29,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1200.0,validation,moving_average_7d,1135.7142857142858,925.3571428571428,1428.5714285714287,True,503.2142857142859,0.9
